站点,站点详情
1. 王官庄小区东区,"卧龙路北侧,泉景映翠园南邻"
2. 卧龙路小学,"卧龙路北侧,卧龙小学西邻"
3. 王官庄,"南辛庄西路东侧,平嘉大药房门口"
4. 试验机厂,"南辛庄西路东侧,试金集团门口"
5. 南辛庄西路南辛庄街,"南辛庄西路东侧,家和欣苑西邻"
6. 南辛庄西路经十路,南辛庄西路东侧，公交车场出口前
7. 经十路营市街②,"经十路南侧,儿童医院门口"
8. 经十路北小辛庄西街,经十路南侧-建邦大厦路对面
9. 经十路经七路,经十路南侧-济南第九中学北门
10. 经十路德兴街,经十路南侧-和谐广场路对面
11. 纬十二路经七路②,纬十二路东侧
12. 经七纬八,"经七路南侧,新泉城名苑南邻"
13. 经七路小纬六路,经七路南侧
14. 经七纬四②,"经七路南侧,农业银行大厦西邻"
15. 经七纬二②,经七路南侧-建设银行前
16. 杆石桥北,"顺河街东侧,银座晶都广场西邻"
17. 顺河东街经二路,顺河街西侧
18. 顺河西街馆驿街,"顺河西街东侧,与馆驿街交叉口南行"
19. 北坦,"顺河西街东侧,交叉口南行"
20. 济安街,济安街东侧，济南盐业公司对面
21. 明湖西路顺河街,"明湖西路南侧,七兵堂门口"
22. 河套庄,"明湖西路南侧,中医风湿病医院东行"
23. 北关,"明湖北路南侧,北坦烧烤城对面"
24. 大明湖北门,"明湖北路南侧,大明湖北门东行"
25. 大明湖火车站,"明湖北路北侧,大明湖火车站广场南邻"
