站点,站点详情
1. 石门②,将军路石门公交车场出口南，路西2
2. 将军路荷花路,将军路，路西围挡旁
3. 全福立交桥北,将军路西侧
4. 全福立交桥西,"北园大街北侧,荣盛营销中心门口"
5. 北全福,"北园大街北侧,长安4S店门口"
6. 北园大街南全福街,"北园大街北侧,BRT站台北侧"
7. 车站北街,"北园大街北侧,山东五金市场门口"
8. 花园庄,"历山路西侧,省商贸学校对面"
9. 省临床中心历山院区,历山路西侧，助听器验配中心门前
10. 东仓,"历山路西侧,建设银行门口"
11. 解放桥,"解放桥北侧,与历山路交叉口西行"
12. 解放路兴华街,解放路
13. 青龙桥,"泉城路北侧,皇亭游泳馆门口"
14. 天地坛街,"泉城路北侧,齐鲁国际大厦北邻"
15. 芙蓉街,"泉城路北侧,国美电器对面"
16. 西门,"泉城路北侧,沃尔玛南邻"
17. 共青团路,"共青团路北侧,中石化加油站对面"
18. 人民商场,"经四路北侧,万达广场南邻"
19. 大观园①,"经四路北侧,与纬二路交叉口东，东图大厦前"
20. 天桥南①,纬二路东侧，丽山大厦前
21. 济南站①,车站街经一路交叉口北，路西5
