站点,站点详情
1. 省府北门,"大明湖路北侧,省府北门对面"
2. 大明湖西南门,"趵突泉北路西侧,护城河东岸"
3. 西门,"趵突泉北路西侧,五龙潭东邻"
4. 趵突泉东门,"趵突泉南路西侧,趵突泉东门口"
