站点,站点详情
1. 王府庄,王府庄路东侧
2. 玉清水厂,王府庄路东侧
3. 担山屯,经十西路南侧
4. 大杨庄,"经十路南侧,与党杨路交叉口东行"
5. 经十路齐州路,经十路南侧
6. 经十路腊山河东路,经十路南侧-润华公馆北1门
7. 明星小区,经十路南侧-过街天桥东侧
8. 经十路腊山北路,经十路南侧-张庄路西侧
9. 张庄路经十路,张庄路东侧
10. 名士花园,张庄路东侧
11. 张庄路经六路,张庄路东侧
12. 济南三十中学,张庄路东侧
13. 张庄路潍坊路,烟台路南侧
14. 地铁二环西路站,烟台路南侧
15. 张庄路二环西路,张庄路南侧
16. 森林公园,张庄路南侧
17. 张庄路段兴西路,张庄路南侧
18. 张庄路段兴东路,张庄路南侧
19. 地铁老屯站,张庄路
20. 八里桥小区,张庄路南侧
21. 地铁八里桥站,张庄路南侧
22. 堤口路西口,堤口路南侧
23. 铁路宿舍,堤口路南侧
24. 地铁益康路站,堤口路南侧
25. 堤口路无影山路,堤口路南侧
26. 十一中,"堤口路南侧,大润发门口西行"
27. 地铁济南站北,堤口路
28. 天桥区政府,堤口路南侧
29. 堤口路东口,堤口路南侧
30. 天桥南,纬二路西侧，丽山大厦对面
31. 纬一路经四路,纬一路西侧
32. 经五纬一,经五路北侧-纬一路西侧
