站点,站点详情
1. 大明湖,大明湖路
2. 市立一院,"大明湖路南侧,中国人寿门口"
3. 大明湖路按察司街,"大明湖路南侧,明湖七院东行"
4. 黑虎泉北路山大南路,黑虎泉北路西侧
5. 青龙桥北,黑虎泉北路西侧-雅悦酒店前
6. 青龙桥南,"黑虎泉北路西侧,历下创益园门口"
7. 黑虎泉,黑虎泉西路北侧
8. 舜井街,"黑虎泉西路北侧,七天酒店南邻"
9. 舜井街,"舜井街东侧,世茂广场西邻"
10. 县西巷南口,"县西巷东侧,金德利民快餐对面"
11. 县西巷北口,县西巷东侧
12. 大明湖,大明湖路
