站点,站点详情
1. 洪家楼⑤,花园路南侧
2. 花园路二环东路①,花园路二环东路交叉口东，路南港湾中间
3. 七里河路华能路,七里河路西侧
4. 七里河小区,七里河路西侧
5. 七里河路南口,七里河路西侧
6. 七里河,工业南路南侧
7. 工业南路华信路,"工业南路南侧,与华信路交叉口东行"
8. 工业南路彤霞路,工业南路南侧
9. 工业南路化纤厂路,"工业南路南侧,茂岭花苑北邻"
10. 丁家庄西,工业南路南侧
11. 丁家庄东,工业南路南侧
12. 工业南路正丰路,"工业南路南侧,与正丰路交叉口东行"
13. 贤文庄,"工业南路南侧,与崇华路交叉口西行"
14. 工业南路舜华路,工业南路与会展东路交叉口西
15. 牛旺庄,工业南路南侧
16. 邓家,工业南路世家大道交叉口西
17. 石化园小区,工业南路南侧
18. 工业南路凤凰路,"工业南路南侧,与凤凰路交叉口东行"
19. 义和庄,工业南路南侧
20. 炼油厂,"工业南路南侧,东盛花园北区北邻"
21. 殷陈南,工业南路东侧
22. 飞跃大道工业南路,交叉口路东南侧
23. 殷陈西小区东,飞跃大道南侧
24. 殷陈小区,飞跃大道南侧-凤歧路东侧
25. 飞跃大道新村中路,飞跃大道南侧-新村中路东侧
26. 凤鸣路飞跃大道,"凤鸣路东侧,与飞跃大道交叉口北行"
27. 鲍山花园北区,凤鸣路东侧
28. 凤鸣路北段,凤鸣路东侧
29. 韩仓,"工业北路南侧,梦想小镇北邻"
30. 郭店立交桥西,工业北路南侧
31. 工业北路机场路,102省道南侧
32. 锦平,102省道南侧
33. 庚辰铸造材料,"102省道南侧,庚辰钢铁门口东行"
34. 郭店街道办事处,102省道南侧
35. 郭店,稼轩路工业北路（102省道）交叉口北行路东
36. 郭西村,郭董路东侧
37. 稼轩路虞山路,稼轩路
38. 李东,郭董路东侧
39. 董家街道办事处南,郭董路东侧
40. 董家街道办事处,郭董路东侧
41. 董家村南,郭董路东侧
42. 董家村北,郭董路东侧
43. 荀于,稼轩路东侧
44. 王辛,稼轩路西侧
