站点,站点详情
1. 重汽彩世界,"黄岗路西侧,与无影山中路交叉口南行"
2. 济齐路黄岗路,"黄岗路西侧,与无影山中路交叉口南行"
3. 济齐路交校路,济齐路交校路南，路西
4. 济齐路张庄路,济齐路、济齐路辅路交叉口
5. 八里桥,"纬十二路西侧,御景城东门南邻"
6. 经一纬十二,"经二路北侧,与纬二路交叉口西行"
7. 经四路西口,经四路南侧-十二中门口
8. 经四纬十二,"经四路南侧,绿地卢浮公寓北邻"
9. 纬十二路经二路,"纬十二路东侧,过街天桥南邻"
10. 经二纬十二,经二路南侧-纬十二路东侧
11. 华联商厦,"经二路南侧,纬九路西侧"
12. 经二纬八,经二路南侧-金得利门口
13. 经二纬六,"经二路南侧,工商银行门口"
14. 经二纬五,经二路南侧
15. 经二纬二,经二路南侧-邮政银行门口
16. 经二纬一,经二路南侧-塘子街西侧
17. 市法院,经二路南侧-市法院西南门对面
18. 普利街,普利街南侧-早教中心前
19. 趵突泉北门,"共青团路南侧,中国人寿门口"
20. 趵突泉东门,黑虎泉西路南侧
21. 泉城广场北,"黑虎泉西路南侧,泉城广场北1门东行"
22. 黑虎泉,黑虎泉西路南侧
23. 青龙桥南,"黑虎泉北路东侧,护城河西岸"
24. 解放桥东,"解放路南侧,山建工北门"
25. 中心医院②,"解放路南侧,历东商务大厦门口"
26. 解放路山大路①,"解放路南侧,工商银行门口"
27. 山大路山大南路,山大路东侧
28. 山大路花园庄东路,山大路东侧
29. 花园路山大路②,"花园路南侧,工商银行门口"
30. 花园路洪家楼西路,"花园路南侧,银座商城对面"
31. 洪家楼①,花园路南侧，公交加气站前
