线路名,起点,终点,运营日期,首班车时间,末班车时间,票价,折扣方式,具体站点信息
K95路,留学人员创业园,月星家居,发车时间,6:00,21:30,2元,济南公交刷卡、支付宝八折优惠,站点详情
K95路,月星家居,留学人员创业园,发车时间,6:00,21:30,2元,济南公交刷卡、支付宝八折优惠,站点详情
K96路,地铁二环西路站,荆山路二环东路,发车时间,5:30,22:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
K96路,荆山路二环东路,地铁二环西路站,发车时间,6:30,22:30,2元,济南公交刷卡、支付宝八折优惠,站点详情
B97路,铁厂北路公交车场,地铁临空站,发车时间,6:30,20:30,2元,济南公交刷卡、支付宝八折优惠,站点详情
B97路,地铁临空站,铁厂北路公交车场,发车时间,5:30,19:30,2元,济南公交刷卡、支付宝八折优惠,站点详情
B98路,烟台路淄博路,洪家楼,发车时间,5:25,21:25,2元,济南公交刷卡、支付宝八折优惠,站点详情
B98路,洪家楼,烟台路张庄路,发车时间,6:00,22:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
K99路,谢家屯,二环东路工业南路,发车时间,6:00,20:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
K99路,二环东路工业南路,谢家屯,发车时间,6:40,20:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
B100路,山东汽配城,舜世路俊雅路,发车时间,6:00,21:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
B100路,舜世路俊雅路,山东汽配城,发车时间,6:30,21:30,2元,济南公交刷卡、支付宝八折优惠,站点详情
K101路,济南大学,甸柳庄,发车时间,0:00,23:59,2元,济南公交刷卡、支付宝八折优惠,站点详情
K101路,甸柳庄,济南大学,发车时间,0:00,23:59,2元,济南公交刷卡、支付宝八折优惠,站点详情
K102路,济南大学,葛家庄,发车时间,5:00,0:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
K102路,葛家庄,济南大学,发车时间,5:00,0:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
B103路,砚泉,大观园,发车时间,5:30,21:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
B103路,大观园,砚泉,发车时间,6:00,21:35,2元,济南公交刷卡、支付宝八折优惠,站点详情
K104路,济南大学,趵突泉东门,临时停运,6:00,20:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
K104路,趵突泉东门,济南大学,临时停运,6:35,20:35,2元,济南公交刷卡、支付宝八折优惠,站点详情
K105路,全福立交桥北,动物园,发车时间,6:00,20:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
K105路,动物园,全福立交桥北,发车时间,6:30,20:30,2元,济南公交刷卡、支付宝八折优惠,站点详情
K106路,郭店立交桥西,花园路二环东路,发车时间,5:30,20:40,2元,济南公交刷卡、支付宝八折优惠,站点详情
K106路,花园路二环东路,郭店立交桥西,发车时间,6:20,21:30,2元,济南公交刷卡、支付宝八折优惠,站点详情
临时摆渡线,柿子园村,通达冷链物流园,发车时间,5:30,18:30,1元,济南公交刷卡、支付宝八折优惠,站点详情
临时摆渡线,通达冷链物流园,柿子园村,发车时间,6:00,19:00,1元,济南公交刷卡、支付宝八折优惠,站点详情
K107路,山东汽配城,山东技师学院,发车时间,6:00,21:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
K107路,山东技师学院,山东汽配城,发车时间,6:00,21:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
K108路,盖家沟,工人新村北村,发车时间,6:00,20:30,2元,济南公交刷卡、支付宝八折优惠,站点详情
K108路,工人新村北村,盖家沟,发车时间,6:25,20:55,2元,济南公交刷卡、支付宝八折优惠,站点详情
K109路,济南西站公交枢纽,大明湖,发车时间,6:00,0:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
K109路,大明湖,济南西站公交枢纽,发车时间,6:30,0:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
K110路,阳光舜城重华苑,七里河路华能路,发车时间,5:30,21:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
K110路,七里河路华能路,阳光舜城重华苑,发车时间,6:00,21:30,2元,济南公交刷卡、支付宝八折优惠,站点详情
K111路,盖家沟配货中心,成丰桥,临时停运,6:00,21:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
K111路,成丰桥,盖家沟配货中心,临时停运,6:35,21:35,2元,济南公交刷卡、支付宝八折优惠,站点详情
B112路,动物园,开元山庄,发车时间,6:00,21:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
B112路,开元山庄,动物园,发车时间,6:00,21:40,2元,济南公交刷卡、支付宝八折优惠,站点详情
K113路,公交祝甸车场,泺文路文化西路,发车时间,6:00,21:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
K113路,泺文路文化西路,公交祝甸车场,发车时间,6:40,21:40,2元,济南公交刷卡、支付宝八折优惠,站点详情
K114路,大魏西,动物园,发车时间,6:00,21:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
K114路,动物园,大魏西,发车时间,6:00,21:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
K115路,唐冶公交枢纽,经八路青年西路,发车时间,5:15,22:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
K115路,经八路青年西路,唐冶公交枢纽,发车时间,6:00,22:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
K116路,解放桥北,章灵西,发车时间,6:00,21:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
K116路,章灵西,解放桥北,发车时间,5:50,21:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
K117路,腊山立交桥,二环东路文化东路,发车时间,5:25,21:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
K117路,二环东路文化东路,腊山立交桥,发车时间,6:10,21:40,2元,济南公交刷卡、支付宝八折优惠,站点详情
K118路,公交祝甸车场,经十路营市街,发车时间,5:30,0:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
K118路,经十路营市街,公交祝甸车场,发车时间,6:00,0:05,2元,济南公交刷卡、支付宝八折优惠,站点详情
K119路,解放桥北,舜华路天辰路,发车时间,6:00,21:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
K119路,舜华路天辰路,解放桥北,发车时间,6:30,21:45,2元,济南公交刷卡、支付宝八折优惠,站点详情
B120路,中海御峰官邸,西苑小区,发车时间,5:30,21:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
B120路,西苑小区,中海御峰官邸,发车时间,6:00,21:30,2元,济南公交刷卡、支付宝八折优惠,站点详情
K121路,西八公交车场,侯家村委会,发车时间,7:30,18:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
K121路,侯家村委会,西八公交车场,发车时间,6:30,17:15,2元,济南公交刷卡、支付宝八折优惠,站点详情
K122路,大明湖火车站,凤凰路工业南路,发车时间,6:00,21:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
K122路,凤凰路工业南路,大明湖火车站,发车时间,6:00,22:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
K123路,公交驾校,泺文路泺源大街,发车时间,6:00,21:30,2元,济南公交刷卡、支付宝八折优惠,站点详情
K123路,泺文路泺源大街,公交驾校,发车时间,6:00,21:30,2元,济南公交刷卡、支付宝八折优惠,站点详情
K124路,白马山铁路新村,经十路营市街,发车时间,6:00,20:40,2元,济南公交刷卡、支付宝八折优惠,站点详情
K124路,经十路营市街,白马山铁路新村,发车时间,6:20,21:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
K125路,白马山公交车场,成丰桥,发车时间,6:00,21:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
K125路,成丰桥,白马山公交车场,发车时间,6:35,21:35,2元,济南公交刷卡、支付宝八折优惠,站点详情
K126路,常旗屯,经十路营市街,发车时间,6:00,19:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
K126路,经十路营市街,常旗屯,发车时间,6:45,19:45,2元,济南公交刷卡、支付宝八折优惠,站点详情
K127路,大魏西,纬二路经七路,发车时间,5:55,21:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
K127路,纬二路经七路,大魏西,发车时间,6:40,21:50,2元,济南公交刷卡、支付宝八折优惠,站点详情
K128路,刘长山路公交车场,泉城广场,发车时间,6:00,21:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
K128路,泉城广场,刘长山路公交车场,发车时间,6:40,21:40,2元,济南公交刷卡、支付宝八折优惠,站点详情
K129路,华润公元九里,省立医院,发车时间,5:40,20:30,2元,济南公交刷卡、支付宝八折优惠,站点详情
K129路,省立医院,华润公元九里,发车时间,6:30,21:25,2元,济南公交刷卡、支付宝八折优惠,站点详情
K130路,大桥街道办事处,动物园,发车时间,5:30,20:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
K130路,动物园,大桥街道办事处,发车时间,6:20,20:45,2元,济南公交刷卡、支付宝八折优惠,站点详情
K131路,瀚裕华园,二环东路文化东路,发车时间,6:00,21:30,2元,济南公交刷卡、支付宝八折优惠,站点详情
K131路,二环东路文化东路,瀚裕华园,发车时间,6:00,21:30,2元,济南公交刷卡、支付宝八折优惠,站点详情
K132路,郑店村,华联商厦,发车时间,5:40,20:35,2元,济南公交刷卡、支付宝八折优惠,站点详情
K132路,华联商厦,郑店村,发车时间,6:25,21:15,2元,济南公交刷卡、支付宝八折优惠,站点详情
K133路,杨柳春风公交车场,纬十二路经七路,发车时间,5:55,20:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
K133路,纬十二路经七路,杨柳春风公交车场,发车时间,6:40,20:40,2元,济南公交刷卡、支付宝八折优惠,站点详情
K134路,公交营运中心,省消防训练支队,发车时间,6:30,20:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
K134路,省消防训练支队,公交营运中心,发车时间,7:00,20:30,2元,济南公交刷卡、支付宝八折优惠,站点详情
K135路,桑梓店公交车场,大桥街道办事处,发车时间,6:30,19:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
K135路,大桥街道办事处,桑梓店公交车场,发车时间,6:30,19:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
K137路,西八公交车场,七里河,发车时间,5:50,21:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
K137路,七里河,西八公交车场,发车时间,6:20,21:40,2元,济南公交刷卡、支付宝八折优惠,站点详情
K138路,铁厂北路公交车场,鑫达小区,发车时间,5:30,21:30,2元,济南公交刷卡、支付宝八折优惠,站点详情
K138路,鑫达小区,铁厂北路公交车场,发车时间,6:05,22:05,2元,济南公交刷卡、支付宝八折优惠,站点详情
K139路,鼎秀家园,卧龙花园,发车时间,6:00,22:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
K139路,卧龙花园,鼎秀家园,发车时间,6:00,22:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
K140路,大魏西,成丰桥,发车时间,6:00,20:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
K140路,成丰桥,大魏西,发车时间,6:35,20:35,2元,济南公交刷卡、支付宝八折优惠,站点详情
K141路,峰山路经十西路,济南西站,发车时间,5:00,20:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
K141路,济南西站,峰山路经十西路,发车时间,6:30,21:30,2元,济南公交刷卡、支付宝八折优惠,站点详情
K142路,西八公交车场,石崮新村,发车时间,6:30,19:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
K142路,石崮新村,西八公交车场,发车时间,5:45,18:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
K142支,西八公交车场,吴家,发车时间,6:30,15:30,2元,济南公交刷卡、支付宝八折优惠,站点详情
K142支,吴家,西八公交车场,发车时间,7:20,19:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
K143路,桑梓店公交车场,动物园,发车时间,6:00,20:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
K143路,动物园,桑梓店公交车场,发车时间,6:30,20:30,2元,济南公交刷卡、支付宝八折优惠,站点详情
K145路,黄金山水郡公交车场,瀚裕华园,发车时间,6:30,21:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
K145路,瀚裕华园,黄金山水郡公交车场,发车时间,6:00,21:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
K146路,龙奥公交枢纽,鲍山花园北区,发车时间,6:30,21:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
K146路,鲍山花园北区,龙奥公交枢纽,发车时间,6:30,21:10,2元,济南公交刷卡、支付宝八折优惠,站点详情
K149路,方特东方神画,制革街,发车时间,5:55,20:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
K149路,制革街,方特东方神画,发车时间,6:40,20:50,2元,济南公交刷卡、支付宝八折优惠,站点详情
B150路,二环东路和平路,牛旺庄小区,发车时间,6:00,21:30,2元,济南公交刷卡、支付宝八折优惠,站点详情
B150路,牛旺庄小区,二环东路和平路,发车时间,6:30,21:30,2元,济南公交刷卡、支付宝八折优惠,站点详情
K151路,全运媒体村,榜棚街,发车时间,6:00,21:30,2元,济南公交刷卡、支付宝八折优惠,站点详情
K151路,榜棚街,全运媒体村,发车时间,6:30,21:30,2元,济南公交刷卡、支付宝八折优惠,站点详情
K152路,舜耕路土屋路,福地街,发车时间,5:50,20:30,2元,济南公交刷卡、支付宝八折优惠,站点详情
K152路,福地街,舜耕路土屋路,发车时间,6:30,21:15,2元,济南公交刷卡、支付宝八折优惠,站点详情
K153路,重汽卡车公司,济南大学,发车时间,6:30,19:30,2元,济南公交刷卡、支付宝八折优惠,站点详情
K153路,济南大学,重汽南路公交车场,发车时间,7:00,20:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
K153支,蛮子村,济南大学,发车时间,6:20,18:20,2元,济南公交刷卡、支付宝八折优惠,站点详情
K153支,济南大学,蛮子村,发车时间,6:45,18:50,2元,济南公交刷卡、支付宝八折优惠,站点详情
K155路,东八里洼,济南大学,发车时间,5:40,21:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
K155路,济南大学,东八里洼,发车时间,6:00,21:20,2元,济南公交刷卡、支付宝八折优惠,站点详情
K156路,济南西站公交枢纽,济南站,发车时间,5:30,0:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
K156路,济南站,济南西站公交枢纽,发车时间,6:10,0:40,2元,济南公交刷卡、支付宝八折优惠,站点详情
K157路,东八里洼,济南西站公交枢纽,发车时间,5:20,23:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
K157路,济南西站公交枢纽,东八里洼,发车时间,6:00,0:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
K158路,唐冶公交枢纽,蟠龙山森林公园,发车时间,6:30,20:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
K158路,蟠龙山森林公园,唐冶公交枢纽,发车时间,6:30,20:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
K159路,重汽南路公交车场,宅科村,发车时间,6:00,19:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
K159路,宅科村,重汽卡车公司,发车时间,6:20,19:30,2元,济南公交刷卡、支付宝八折优惠,站点详情
K160路,刘智远村北,燕山立交桥北,发车时间,6:00,21:30,2元,济南公交刷卡、支付宝八折优惠,站点详情
K160路,燕山立交桥北,公交新泺大街东口车场 ,发车时间,6:00,21:30,2元,济南公交刷卡、支付宝八折优惠,站点详情
K161路,建大新校区,浆水泉路荆山东路,发车时间,6:00,21:20,2元,济南公交刷卡、支付宝八折优惠,站点详情
K161路,浆水泉路荆山东路,建大新校区,发车时间,6:30,21:55,2元,济南公交刷卡、支付宝八折优惠,站点详情
K162路,孙村新区,崇华路新泺大街,发车时间,6:00,20:30,2元,济南公交刷卡、支付宝八折优惠,站点详情
K162路,崇华路新泺大街,孙村新区,发车时间,6:00,20:30,2元,济南公交刷卡、支付宝八折优惠,站点详情
K163路,唐冶公交枢纽,花园路二环东路,发车时间,5:30,21:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
K163路,花园路二环东路,唐冶公交枢纽,发车时间,6:30,22:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
B164路,领秀城东区公交车场,经十路营市街,发车时间,5:40,20:40,2元,济南公交刷卡、支付宝八折优惠,站点详情
B164路,经十路营市街,领秀城东区公交车场,发车时间,6:05,21:25,2元,济南公交刷卡、支付宝八折优惠,站点详情
B165路,还乡店,新世界商城,发车时间,6:00,20:30,2元,济南公交刷卡、支付宝八折优惠,站点详情
B165路,新世界商城,还乡店,发车时间,6:30,21:20,2元,济南公交刷卡、支付宝八折优惠,站点详情
K166路,龙奥公交枢纽,徐家庄,发车时间,6:30,20:30,2元,济南公交刷卡、支付宝八折优惠,站点详情
K166路,徐家庄,龙奥公交枢纽,发车时间,6:30,21:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
K167路,方特东方神画,官扎营新街堤口路,发车时间,5:40,21:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
K167路,官扎营新街堤口路,方特东方神画,发车时间,6:40,22:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
K168路,公交祝甸车场,金汇瀚玉城,发车时间,5:50,21:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
K168路,金汇瀚玉城,公交祝甸车场,发车时间,6:30,21:40,2元,济南公交刷卡、支付宝八折优惠,站点详情
K169路,公交驾校,舜耕国际会展中心,发车时间,6:00,21:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
K169路,舜耕国际会展中心,公交驾校,发车时间,6:00,21:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
K170路,领秀城西门,大明湖,发车时间,5:50,21:20,2元,济南公交刷卡、支付宝八折优惠,站点详情
K170路,大明湖,领秀城西门,发车时间,6:40,22:10,2元,济南公交刷卡、支付宝八折优惠,站点详情
K171路,青年桥,雅居园小区,发车时间,6:00,21:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
K171路,雅居园小区,青年桥,发车时间,6:00,21:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
K172路,腊山立交桥,山东特殊教育职业学院,发车时间,6:00,20:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
K172路,山东特殊教育职业学院,腊山立交桥,发车时间,5:45,20:45,2元,济南公交刷卡、支付宝八折优惠,站点详情
K173路,东营村,全福立交桥北,发车时间,5:30,18:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
K173路,全福立交桥北,东营村,发车时间,6:20,19:10,2元,济南公交刷卡、支付宝八折优惠,站点详情
K175路,陡沟,邵西,临时停运,6:40,19:10,2元,济南公交刷卡、支付宝八折优惠,站点详情
K175路,邵西,陡沟,临时停运,7:30,19:30,2元,济南公交刷卡、支付宝八折优惠,站点详情
K176路,唐冶公交枢纽,济南国际鲜花港,发车时间,6:30,19:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
K176路,济南国际鲜花港,唐冶公交枢纽,发车时间,6:00,19:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
K177路,大桥街道办事处,丁屯村,发车时间,7:30,18:30,2元,济南公交刷卡、支付宝八折优惠,站点详情
K177路,丁屯村,大桥街道办事处,发车时间,6:30,17:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
K178路,大桥街道办事处,刘光照村,发车时间,7:30,18:30,2元,济南公交刷卡、支付宝八折优惠,站点详情
K178路,刘光照村,大桥街道办事处,发车时间,6:30,17:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
K179路,高王村,大魏西,发车时间,6:30,16:40,2元,济南公交刷卡、支付宝八折优惠,站点详情
K179路,大魏西,高王村,发车时间,7:30,17:50,2元,济南公交刷卡、支付宝八折优惠,站点详情
K180路,郭店立交桥西,周家村,发车时间,8:00,18:45,2元,济南公交刷卡、支付宝八折优惠,站点详情
K180路,周家村,郭店立交桥西,发车时间,6:00,17:30,2元,济南公交刷卡、支付宝八折优惠,站点详情
K181路,唐冶公交枢纽,王家鹊山,发车时间,8:00,18:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
K181路,王家鹊山,唐冶公交枢纽,发车时间,6:00,16:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
K182路,唐冶公交枢纽,西丝峪村,发车时间,8:00,18:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
K182路,西丝峪村,唐冶公交枢纽,发车时间,6:00,16:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
K183路,唐冶公交枢纽,康井孟村,发车时间,8:00,18:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
K183路,康井孟村,唐冶公交枢纽,发车时间,5:40,16:10,2元,济南公交刷卡、支付宝八折优惠,站点详情
K184路,大涧沟北,天桥南,发车时间,6:00,19:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
K184路,天桥南,大涧沟北,发车时间,6:40,19:50,2元,济南公交刷卡、支付宝八折优惠,站点详情
K185路,公交驾校,鸡山坡村,发车时间,6:40,19:30,2元,济南公交刷卡、支付宝八折优惠,站点详情
K185路,鸡山坡村,公交驾校,发车时间,5:50,18:30,2元,济南公交刷卡、支付宝八折优惠,站点详情
K187路,济南东站公交东枢纽,燕山立交桥东,发车时间,6:00,0:10,2元,济南公交刷卡、支付宝八折优惠,站点详情
K187路,燕山立交桥东,济南东站公交东枢纽,发车时间,5:20,22:15,2元,济南公交刷卡、支付宝八折优惠,站点详情
K188路,济南东站公交东枢纽,唐冶公交枢纽,发车时间,6:00,0:10,2元,济南公交刷卡、支付宝八折优惠,站点详情
K188路,唐冶公交枢纽,济南东站公交东枢纽,发车时间,5:00,22:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
K189路,济南东站公交东枢纽,凤凰路博学路,发车时间,6:00,0:10,2元,济南公交刷卡、支付宝八折优惠,站点详情
K189路,凤凰路博学路,济南东站公交东枢纽,发车时间,5:40,22:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
B190路,省立医院东院区,省立医院,发车时间,6:00,20:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
B190路,省立医院,省立医院东院区,发车时间,6:00,20:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
K191路,匡山小区,省肿瘤医院,发车时间,6:00,20:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
K191路,省肿瘤医院,匡山小区,发车时间,6:00,20:30,2元,济南公交刷卡、支付宝八折优惠,站点详情
K192路,大魏西,济南西站公交枢纽,发车时间,6:00,21:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
K192路,济南西站,大魏西,发车时间,6:40,21:40,2元,济南公交刷卡、支付宝八折优惠,站点详情
K202路,济南西站公交枢纽,刘智远村北,发车时间,5:30,0:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
K202路,刘智远村北,济南西站公交枢纽,发车时间,6:00,0:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
K207路,公交营运中心,济西湿地公园,发车时间,6:00,18:30,2元,济南公交刷卡、支付宝八折优惠,站点详情
K207路,济西湿地公园,公交营运中心,发车时间,7:00,19:30,2元,济南公交刷卡、支付宝八折优惠,站点详情
K215路,齐州路聊城路,腊山立交桥,发车时间,6:00,21:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
K215路,腊山立交桥,齐州路聊城路,发车时间,6:30,21:30,2元,济南公交刷卡、支付宝八折优惠,站点详情
K216路,青岛路公交车场,纬十二路经七路,发车时间,6:00,20:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
K216路,纬十二路经七路,青岛路公交车场,发车时间,6:50,20:50,2元,济南公交刷卡、支付宝八折优惠,站点详情
K217路,公交营运中心,山东联合大学,发车时间,6:30,20:30,2元,济南公交刷卡、支付宝八折优惠,站点详情
K217路,山东联合大学,公交营运中心,发车时间,7:00,21:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
B218路,孟家,北全福,发车时间,5:20,21:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
B218路,北全福,孟家,发车时间,6:00,21:40,2元,济南公交刷卡、支付宝八折优惠,站点详情
K219路,西八公交车场,大石崮森林公园,发车时间,6:30,19:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
K219路,大石崮森林公园,西八公交车场,发车时间,5:45,18:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
K220路,唐冶公交枢纽,济南药谷产业园,发车时间,6:00,20:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
K220路,济南药谷产业园,唐冶公交枢纽,发车时间,6:50,20:50,2元,济南公交刷卡、支付宝八折优惠,站点详情
K221路,济莱高铁历城站,邦德激光,发车时间,6:00,20:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
K221路,邦德激光,济莱高铁历城站,发车时间,6:20,20:40,2元,济南公交刷卡、支付宝八折优惠,站点详情
K223路,起步区市民中心,龙奥大厦北门,发车时间,7:00,19:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
K223路,龙奥大厦北门,起步区市民中心,发车时间,7:00,19:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
K224路,华昱大厦,华昱大厦,发车时间,7:00,19:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
K225路,华昱大厦,华昱大厦,发车时间,7:00,19:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
K226路,郭店立交桥西,鸡山村,发车时间,6:00,19:30,2元,济南公交刷卡、支付宝八折优惠,站点详情
K226路,鸡山村,郭店立交桥西,发车时间,7:10,20:40,2元,济南公交刷卡、支付宝八折优惠,站点详情
K228路,西八公交车场,济南西站公交枢纽,发车时间,6:00,22:40,2元,济南公交刷卡、支付宝八折优惠,站点详情
K228路,济南西站公交枢纽,西八公交车场,发车时间,6:00,22:40,2元,济南公交刷卡、支付宝八折优惠,站点详情
K229路,虞麓花园,郭家,发车时间,6:00,20:30,2元,济南公交刷卡、支付宝八折优惠,站点详情
K229路,郭家,虞麓花园,发车时间,6:45,21:15,2元,济南公交刷卡、支付宝八折优惠,站点详情
K230路,济南公交维保基地,北胡,发车时间,5:50,21:30,2元,济南公交刷卡、支付宝八折优惠,站点详情
K230路,北胡,济南公交维保基地,发车时间,6:20,22:30,2元,济南公交刷卡、支付宝八折优惠,站点详情
K232路,地铁彭家庄站,黄金谷小区,发车时间,6:30,23:15,2元,济南公交刷卡、支付宝八折优惠,站点详情
K232路,黄金谷小区,地铁彭家庄站,发车时间,5:40,22:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
B235路,郭店立交桥西,凤鸣路旅游路,发车时间,5:30,21:30,2元,济南公交刷卡、支付宝八折优惠,站点详情
B235路,凤鸣路旅游路,郭店立交桥西,发车时间,6:00,22:10,2元,济南公交刷卡、支付宝八折优惠,站点详情
B236路,郭店立交桥西,中心医院东院西门,发车时间,5:40,21:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
B236路,中心医院东院西门,郭店立交桥西,发车时间,6:20,21:35,2元,济南公交刷卡、支付宝八折优惠,站点详情
B237路,姚家庄,徐家庄,发车时间,6:00,21:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
B237路,徐家庄,姚家庄,发车时间,6:00,21:35,2元,济南公交刷卡、支付宝八折优惠,站点详情
K238路,济莱高铁历城站,地铁龙奥大厦站,发车时间,6:00,21:45,2元,济南公交刷卡、支付宝八折优惠,站点详情
K238路,地铁龙奥大厦站,济莱高铁历城站,发车时间,6:00,21:45,2元,济南公交刷卡、支付宝八折优惠,站点详情
K260路,桑梓店公交车场,动物园,发车时间,6:00,20:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
K260路,动物园,桑梓店公交车场,发车时间,6:30,20:30,2元,济南公交刷卡、支付宝八折优惠,站点详情
K263路,济南黄河国际会展中心,济南东站公交西枢纽,发车时间,6:00,19:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
K263路,济南东站公交西枢纽,济南黄河国际会展中心,发车时间,7:00,20:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
K265路,地铁彭家庄站,历城区委党校,发车时间,6:00,23:15,2元,济南公交刷卡、支付宝八折优惠,站点详情
K265路,历城区委党校,地铁彭家庄站,发车时间,6:30,22:20,2元,济南公交刷卡、支付宝八折优惠,站点详情
