线路名,起点,终点,运营日期,首班车时间,末班车时间,票价,折扣方式,具体站点信息
K27路,山东汽配城,宁康街北康路,发车时间,6:00,21:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
K27路,宁康街北康路,山东汽配城,发车时间,6:00,21:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
K28路,青年桥东,国华东方美郡,发车时间,6:00,21:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
K28路,国华东方美郡,青年桥东,发车时间,6:00,21:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
K29路,文贤居,天桥南,发车时间,5:20,21:30,2元,济南公交刷卡、支付宝八折优惠,站点详情
K29路,天桥南,文贤居,发车时间,6:00,22:15,2元,济南公交刷卡、支付宝八折优惠,站点详情
K30路,公交祝甸车场,泺口服装城,发车时间,6:00,21:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
K30路,泺口服装城,公交祝甸车场,发车时间,6:00,21:45,2元,济南公交刷卡、支付宝八折优惠,站点详情
K31路,黄台家居广场,燕山立交桥东,发车时间,6:00,21:20,2元,济南公交刷卡、支付宝八折优惠,站点详情
K31路,燕山立交桥东,黄台家居广场,发车时间,6:00,22:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
K32路,清雅居,新世界商城,发车时间,5:30,21:30,2元,济南公交刷卡、支付宝八折优惠,站点详情
K32路,新世界商城,清雅居,发车时间,6:00,21:50,2元,济南公交刷卡、支付宝八折优惠,站点详情
K33路,地铁北园站,映月紫云城,发车时间,5:30,21:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
K33路,映月紫云城,地铁北园站,发车时间,6:05,21:40,2元,济南公交刷卡、支付宝八折优惠,站点详情
K34路,阳光舜城重华苑,济南站,发车时间,5:30,21:30,2元,济南公交刷卡、支付宝八折优惠,站点详情
K34路,济南站,阳光舜城重华苑,发车时间,6:00,22:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
B36路,郎茂山小区,济南二中,发车时间,5:30,22:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
B36路,济南二中,郎茂山小区,发车时间,5:30,22:30,2元,济南公交刷卡、支付宝八折优惠,站点详情
K37路,铁厂北路公交车场,解放桥东,发车时间,6:00,21:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
K37路,解放桥东,铁厂北路公交车场,发车时间,6:00,21:45,2元,济南公交刷卡、支付宝八折优惠,站点详情
K38路,青岛路公交车场,经十路北小辛庄西街,发车时间,5:50,20:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
K38路,经十路北小辛庄西街,青岛路公交车场,发车时间,6:00,20:50,2元,济南公交刷卡、支付宝八折优惠,站点详情
K38支,青岛路公交车场,引桥,发车时间,6:00,18:30,2元,济南公交刷卡、支付宝八折优惠,站点详情
K38支,引桥,青岛路公交车场,发车时间,6:25,18:55,2元,济南公交刷卡、支付宝八折优惠,站点详情
